,PTEC,eTEC,aS,P,eP,S2,LH,CC,S1,DTEC
eTEC,0.6702486596491373,0.29655539837952655,1.4728080283312022e-05,0.001027793812259778,0.0,0.0,0.0,9.047006166225622e-10,0.00038758795600102314,0.031765831218091366
PTEC,0.9917582165899711,0.0025773010060503075,2.2944471353381974e-06,5.475684841043621e-06,0.00016741716380266726,1.3490721801511714e-14,0.0,0.0,0.0,0.005489295108186135
aS,0.0,0.0,0.9999999987505206,0.0,0.0,1.2494793387122186e-09,7.942221510411364e-23,1.8502455203986427e-18,3.070456826327401e-17,0.0
eP,0.07132216789925873,0.0,0.0,0.0,0.9243044749130456,0.0,0.0,5.95322362341299e-08,0.0,0.004373297655459474
P,3.761602419803516e-08,0.0,2.240602710012436e-18,0.9799081648039646,0.0,0.0,0.0,0.0,0.0,0.02009179758001116
S2,9.703469346032484e-18,0.0,0.9013037299780118,2.3339498783747213e-05,0.0,0.07733299971725717,0.006152456120938826,0.0013675276326004424,0.01381994694496285,1.0744503002704709e-10
LH,0.0,0.0,4.5148077616451644e-18,0.0,0.0,0.014249713593660035,0.9770240080497744,0.0003612816276929405,0.005931449596912105,0.0024335471319604273
CC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
S1,3.344226036821652e-19,0.0,0.0009455422920805867,1.0538830099995553e-06,0.0,0.00062716552113561,0.018325942287715058,0.0024929393218696668,0.9775509474646537,5.640922953543443e-05
DTEC,5.397214327308749e-05,2.3501236317071395e-06,0.0,0.001401126823012955,0.0,0.0,0.0,4.6489822120214216e-11,7.930200428868018e-09,0.998542542933392
