,IPC,IN,EN,Other,Astro,OPC,Choroid,RG
IPC,0.8813866441413524,0.0001538313619129159,0.00017078293038189063,2.2775644705470553e-05,4.1706088120297924e-07,0.0,1.3189152136105292e-05,0.11825235970862996
IN,0.04193746758503876,0.8536321348004086,0.10405748829540906,0.0,1.646327491439438e-26,0.0,0.00037288060383142054,2.8715312288559273e-08
EN,0.013358464839615117,0.7108480265021275,0.2612510251603603,2.2346447082886728e-18,1.3489789859204455e-16,0.0,0.0053632585601520195,0.009179224937744904
Other,7.438377643258561e-07,8.43625328389946e-06,0.0,0.2868619025814265,0.0,0.0,0.0,0.7131289173275253
OPC,0.0,0.0,4.736487202656978e-15,0.0,2.437900077141228e-06,0.0,0.0,0.9999975620999182
Choroid,0.002788921689394671,9.143045422540314e-06,0.005538256485071278,0.0,9.840355978182848e-06,0.0,0.9895763884826411,0.0020774499414922755
RG,0.5869184761410019,1.0747456532044564e-05,0.0016825637106333538,4.433501043694585e-07,8.037114084768687e-07,5.387840380563278e-13,0.00908886792426502,0.4022980977055161
