,IPC,IN,EN,RG
IPC,0.9896159958259071,6.483868289620204e-07,0.006223626329404444,0.0041597294578594865
Astro,0.3018141122874245,7.366568698847914e-21,0.6981858877125755,6.264886868661355e-23
EN,0.2104369195057499,0.08739474907434905,0.6704850330545388,0.031683298365362156
RG,0.8519145999217129,0.0015462105203291796,0.11109742400484743,0.03544176555311051
