,Choroid,EN,IN,IPC,Other,RG
Choroid,0.0,0.00015072406755861886,0.0,0.007970564216960657,0.0,0.9918787117154808
EN,0.0,0.07926984076985058,0.06089311903936245,0.3010870707661623,1.3690273763617448e-21,0.5587499694246247
IN,0.0,0.07035510667766755,0.6554330135980243,0.2740283210990802,0.0,0.00018355862522797614
IPC,0.0,0.0011375350501904634,0.0013872932688949828,0.8120696588666233,4.605333047436704e-07,0.18540505228098644
Other,0.0,0.0,0.0,0.9765290438052825,0.02346884821913185,2.107975585645351e-06
RG,1.625919709230621e-07,0.00645082535768956,0.0001301594195970532,0.28272098478693664,3.9368922359792866e-05,0.710658498921446
