,IPC,EN,RG
IPC,0.8822688074956997,0.009246812661378962,0.10848437984292135
IN,0.0035848106844316276,0.0022394866790833986,0.9941757026364849
EN,0.5039997352675015,0.10114522460543812,0.39485504012706024
RG,0.6020657988034309,0.0037404659846644213,0.39419373521190465
