,IPC,IN,EN,Other,Astro,OPC,Choroid,RG
IPC,0.28875968608515556,0.01282874191540117,0.03897013175410211,0.0005789124081441128,7.110931284131872e-06,0.0,2.1796532665021008e-05,0.6588336203732479
RG,0.8872574202009511,0.0014821199210363482,0.002831783791593655,2.4786901128044575e-08,3.8227505685907074e-05,0.0,0.000111897766737966,0.108278526027094
