,IPC,IN,EN,RG
IPC,0.9580521509454398,0.0005389812533900963,0.006865450096358212,0.034543417704811945
EN,0.23397609593926205,3.720766362983328e-18,0.76589422504721,0.00012967901352783348
RG,0.7699815643054251,0.02285948400739736,0.06775905224929951,0.13939989943787806
