,IPC,EN,RG
IPC,0.8506154760111236,0.0019794738643338673,0.14740505012454252
IN,0.40388209032816796,0.03180704690509297,0.564310862766739
EN,0.3121886126589513,0.02049173806251399,0.6673196492785347
RG,0.5807628416561011,0.0005625419911619388,0.41867461635273695
