,IPC,IN,EN,Other,RG
IPC,0.9009677427969349,1.5278403151732543e-06,0.003981111949763754,4.6166962045455714e-05,0.0950034504509406
EN,0.10769691516573655,6.019920049002253e-08,0.32201401572852256,0.0,0.5702890089065404
RG,0.5025707131854035,0.0003504249823131699,0.05303593298657926,9.066031164617438e-18,0.4440429288457041
