,IPC,IN,EN,Other,Choroid,RG
IPC,0.8570047575781694,0.0001907569677376145,0.0040792286853349865,0.00011162914705885358,6.475924871146708e-07,0.13861298002921213
IN,0.3912533562942796,0.4113220867228426,0.055388524177403614,0.0,0.0,0.14203603280547406
EN,0.26713118663962504,0.00023917931406993906,0.0548901337438194,0.0,0.002353950434285149,0.6753855498682004
Other,0.5119678028543981,0.0,0.0,0.0,0.0,0.48803219714560186
RG,0.41831132344892463,0.0002999199318221785,0.02427838315872248,0.0,0.00016813781581898312,0.5569422356447117
