,IPC,IN,EN,Other,OPC,Choroid,RG
IPC,0.8135823513347439,0.006156982115524532,0.00316218595026605,0.00012752829773706275,3.256488787651591e-22,0.0005029883581533783,0.17646796394357495
IN,0.2299320788385992,0.6310415768159439,0.13192810480824904,0.0,0.0,0.0015697833530669326,0.005528456184140902
EN,0.20274351362203272,0.28295053819811944,0.2143410313302674,0.0,0.0,0.0002815166665312446,0.29968340018304906
Other,0.007913349866505333,0.0,1.4018121776304015e-13,0.498357448650749,0.0,0.0,0.49372920148260563
Choroid,0.12949023154980485,0.0,4.4247336355051816e-11,0.0,0.0,0.6912210567660141,0.1792887116399338
RG,0.28470657051356685,0.00029187033669284056,0.00880571322458143,4.703631133419898e-05,8.924150461100644e-05,0.0029652895182611413,0.7030942785909525
